"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"ID"
"1"	"adarotene$FL1"	"adarotene$FL2"	0	2.76470588235294	3.3	3.03235294117647	"47"	33	66	129.941176470588	108.9	119.420588235294	"adarotene$FL1adarotene$FL2"
"2"	"adarotene$FL1"	"afatinib$FL2"	0.0408	3.28571428571429	3.14285714285714	3.21428571428571	"46"	44	88	151.142857142857	138.285714285714	144.714285714286	"adarotene$FL1afatinib$FL2"
"3"	"adarotene$FL1"	"alisertib$FL1"	0.2988	2.6875	3.28571428571429	2.98660714285714	"43"	23	46	115.5625	75.5714285714286	95.5669642857143	"adarotene$FL1alisertib$FL1"
"4"	"adarotene$FL1"	"alvespimycin$FL1"	0.7528	3.07142857142857	3.07692307692308	3.07417582417582	"43"	40	80	132.071428571429	123.076923076923	127.574175824176	"adarotene$FL1alvespimycin$FL1"
"5"	"adarotene$FL1"	"alvespimycin$FL2"	0.7528	3.07142857142857	4.42857142857143	3.75	"43"	31	62	132.071428571429	137.285714285714	134.678571428571	"adarotene$FL1alvespimycin$FL2"
"6"	"adarotene$FL1"	"amsacrine$FL1"	1.813	3.06666666666667	3.33333333333333	3.2	"46"	40	80	141.066666666667	133.333333333333	137.2	"adarotene$FL1amsacrine$FL1"
"7"	"adarotene$FL1"	"AS-605240$FL1"	0.0356	3.14285714285714	2.35714285714286	2.75	"44"	33	66	138.285714285714	77.7857142857143	108.035714285714	"adarotene$FL1AS-605240$FL1"
"8"	"adarotene$FL1"	"AS-703026$FL1"	1.8773	3.07142857142857	3.06666666666667	3.06904761904762	"43"	46	92	132.071428571429	141.066666666667	136.569047619048	"adarotene$FL1AS-703026$FL1"
"9"	"adarotene$FL1"	"AT-13387$FL1"	0.5118	3.23076923076923	2.5625	2.89663461538462	"42"	41	82	135.692307692308	105.0625	120.377403846154	"adarotene$FL1AT-13387$FL1"
"10"	"adarotene$FL1"	"AT-9283$FL1"	2.0301	2.58823529411765	4.57142857142857	3.57983193277311	"44"	32	64	113.882352941176	146.285714285714	130.084033613445	"adarotene$FL1AT-9283$FL1"
